comment,category
"The summary at the end was very helpful.",Informative
"I appreciate how you mentioned common mistakes to avoid.",Informative
"This video should have way more views, so helpful.",Informative
"Your explanation helped me pass my exam.",Informative
"I used this method in my project and it worked.",Informative
"The real-world examples made it easier to relate.",Informative
"The pacing of the explanation was just right.",Informative
"Including resources in the description was a nice touch.",Informative
"I learned more from this than from my class lectures.",Informative
"This clarified so many doubts I had.",Informative
"The comparison between models was very insightful.",Informative
"You covered all the important edge cases.",Informative
"I appreciate how you answered common questions in advance.",Informative
"This is exactly what I was looking for.",Informative
"The diagrams you used really helped my understanding.",Informative
"Thank you for explaining the intuition behind the formula.",Informative
"I finally understand how TF-IDF actually works.",Informative
"Your channel is a goldmine for learners.",Informative
"The examples with real datasets were great.",Informative
"I love that you provided the source code for practice.",Informative
"This helped me debug an issue I was stuck on.",Informative
"The explanation of hyperparameters was very clear.",Informative
"I liked that you compared multiple approaches objectively.",Informative
"I didn't know about this trick before, very useful.",Informative
"The way you structured the content is excellent.",Informative
"Your explanation of overfitting vs underfitting was spot on.",Informative
"This is going straight into my study playlist.",Informative
"Short but extremely informative video.",Informative
"I've watched many videos but this one finally clicked.",Informative
"Thank you for making learning this topic enjoyable.",Informative
"The section on evaluation metrics was especially helpful.",Informative
"You answered a question I didn't even know how to ask.",Informative
"Now I feel confident enough to implement this myself.",Informative
"The notebook you shared is very well documented.",Informative
"I appreciate the clear definitions before jumping into code.",Informative
"This helped me understand the documentation much better.",Informative
"Please make more deep dives like this.",Informative
"This tutorial is garbage, you don't know anything.",Hate
"I hate people who make videos like this, such a waste of time.",Hate
"Terrible content, you should just delete your channel.",Hate
"You're so stupid, why did you even make this video?",Hate
"This is the worst tutorial I've ever seen.",Hate
"You clearly have no idea what you're talking about.",Hate
"Stop pretending to be an expert, you're not.",Hate
"I lost brain cells watching this.",Hate
"Your voice is so annoying, I couldn't finish the video.",Hate
"Unsubscribed immediately, this was awful.",Hate
"People like you ruin this platform.",Hate
"This video is a complete waste of time.",Hate
"You should be banned from making content.",Hate
"How can anyone like this trash?",Hate
"Your explanations are confusing and useless.",Hate
"I regret clicking on this video.",Hate
"Nothing you said in this video is correct.",Hate
"This channel is a joke, and not in a good way.",Hate
"You're just repeating what others say without understanding.",Hate
"You made everything more confusing than it was before.",Hate
"You talk too much and say nothing of value.",Hate
"This is so misleading, stop spreading misinformation.",Hate
"I can't believe people actually subscribed to you.",Hate
"Your content keeps getting worse and worse.",Hate
"You clearly didn't do any research.",Hate
"You should feel bad for uploading this.",Hate
"Even my dog could explain this better than you.",Hate
"I hope no one else wastes their time here.",Hate
"You're just chasing views with low-effort content.",Hate
"This made me angry instead of helping me learn.",Hate
"Everything about this video is terrible.",Hate
"Your attitude in this video is disgusting.",Hate
"I'm reporting this for being misleading.",Hate
"Stop calling this a tutorial, it's not.",Hate
"You sound arrogant and still get everything wrong.",Hate
"You ignore basic facts, this is embarrassing.",Hate
"Please delete this and never upload again.",Hate
"You're not funny, you're just rude and unhelpful.",Hate
"This is why I hate tutorial channels like yours.",Hate
"You make beginners more confused than when they started.",Hate
"This video deserves all the dislikes.",Hate
"I can't believe I watched this to the end, awful.",Hate
"You're wasting everyone's time with this nonsense.",Hate
"I hope no one takes this advice seriously.",Hate
"This is such low-effort trash content.",Hate
"You clearly didn't practice before recording.",Hate
"This video's quality matches your skill: terrible.",Hate
"Your editing made this even worse to watch.",Hate
"I feel dumber after watching this.",Hate
"You say you're helping, but you're not.",Hate
